Year,Week,Load 1,Discharge 1,Voyage 1,Line 1,Load 2,Discharge 2,Voyage 2,Line 2,Full/Empty,ContainerType,ContainerSize,Owner,ContractType,Total
2024,52,DK AAR,FO THO,MAL452,Yellow Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2024,52,DK AAR,FO THO,MAL452,Yellow Line,,,,,F,45G1,40.0,CARRIER,LONG,1
2024,52,IS REY,NL RTM,LAG452,Yellow Line,,,,,F,22GB,20.0,CARRIER,LONG,3
2024,52,IS REY,NL RTM,LAG452,Yellow Line,,,,,F,45G1,40.0,CARRIER,LONG,1
2024,52,IS REY,NL RTM,LAG452,Yellow Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2024,52,IS REY,NL RTM,LAG452,Yellow Line,,,,,F,45G1,40.0,LEASED,MASTER,1
2024,52,IS REY,NL RTM,LAG452,Yellow Line,,,,,F,22GB,20.0,LEASED,PURCHASE,2
2024,52,IS REY,DK AAR,BRU452,Red Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2024,52,IS REY,CA HAL,VIV452,Green Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2024,52,IS REY,DK AAR,LAG452,Yellow Line,,,,,E,22G1,20.0,CARRIER,CABOTAGE,1
2024,52,IS REY,DK AAR,LAG452,Yellow Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2024,52,IS REY,DK AAR,LAG452,Yellow Line,,,,,F,45G1,40.0,LEASED,ONEWAY,1
2024,52,IS REY,SE HEL,LAG452,Yellow Line,,,,,F,45G1,40.0,CARRIER,LONG,10
2024,52,IS REY,SE HEL,LAG452,Yellow Line,,,,,F,22R1,20.0,LEASED,PURCHASE,1
2024,52,IS REY,US PWM,VIV452,Green Line,,,,,F,45G1,40.0,CARRIER,CABOTAGE,1
2024,52,IS REY,US PWM,VIV452,Green Line,,,,,F,22K0,20.0,CARRIER,LONG,1
2025,1,DK AAR,FO THO,LAG452,Yellow Line,,,,,F,22G1,20.0,CARRIER,LONG,1
2025,1,DK AAR,FO THO,LAG452,Yellow Line,,,,,F,4EG1,40.0,CARRIER,LONG,1
2025,1,DK AAR,FO THO,LAG452,Yellow Line,,,,,F,45U1,40.0,LEASED,ONEWAY,2
2025,1,DK AAR,IS REY,LAG452,Yellow Line,,,,,E,22G1,20.0,LEASED,ONEWAY,1
2025,1,DK AAR,IS REY,LAG452,Yellow Line,,,,,F,45G1,40.0,CARRIER,LONG,1
2025,1,DK AAR,IS REY,LAG452,Yellow Line,IS REY,US PWM,BAK502,Green Line,F,45G1,40.0,CARRIER,LONG,1
2025,1,DK AAR,IS REY,LAG452,Yellow Line,,,,,F,45R1,40.0,CARRIER,LONG,1
2025,1,DK AAR,IS REY,LAG452,Yellow Line,,,,,F,22K0,20.0,SHIPPER,,1
2025,1,FO THO,DE BRV,BRU452,Red Line,,,,,E,42P3,40.0,CARRIER,LONG,2
2025,1,FO THO,DE BRV,BRU452,Red Line,,,,,E,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,FO THO,DE BRV,BRU452,Red Line,,,,,E,4EG1,40.0,LEASED,MASTER,1
2025,1,FO THO,DK AAR,BRU452,Red Line,,,,,E,45G1,40.0,LEASED,ONEWAY,1
2025,1,FO THO,DK AAR,BRU452,Red Line,,,,,F,45R1,40.0,LEASED,ONEWAY,7
2025,1,FO THO,GB IMM,SKO501,Yellow Line,,,,,F,LNRB,45.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,FO THO,IS REY,LAG452,Yellow Line,,,,,F,22G1,20.0,CARRIER,LONG,1
2025,1,FO THO,IS REY,LAG452,Yellow Line,IS REY,CA HAL,BAK502,Green Line,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS GRT,IS REY,JOR501,Blue Line,,,,,E,42P3,40.0,CARRIER,CABOTAGE,1
2025,1,IS GRT,IS REY,JOR501,Blue Line,IS REY,US PWM,BAK502,Green Line,F,22G1,20.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS GRT,IS REY,JOR501,Blue Line,IS REY,US PWM,BAK502,Green Line,F,22G1,20.0,CARRIER,CABOTAGE,1
2025,1,IS GRT,IS REY,JOR501,Blue Line,IS REY,SE HEL,DET501,Red Line,F,45P3,40.0,CARRIER,LONG,1
2025,1,IS GRT,IS REY,JOR501,Blue Line,IS REY,GB IMM,LAG502,Yellow Line,F,22G1,20.0,LEASED,MASTER,1
2025,1,IS REY,DE BRV,BRU452,Red Line,,,,,E,45G1,40.0,CARRIER,CABOTAGE,1
2025,1,IS REY,DE BRV,BRU452,Red Line,,,,,E,45G1,40.0,LEASED,ONEWAY,1
2025,1,IS REY,DE BRV,BRU452,Red Line,,,,,E,22G1,20.0,LEASED,ONEWAY,1
2025,1,IS REY,DK AAR,BRU452,Red Line,,,,,E,22G1,20.0,CARRIER,CABOTAGE,1
2025,1,IS REY,DK AAR,BRU452,Red Line,,,,,F,45G1,40.0,CARRIER,LONG,1
2025,1,IS REY,DK AAR,BRU452,Red Line,,,,,F,22G1,20.0,CARRIER,LONG,1
2025,1,IS REY,DK AAR,BRU452,Red Line,,,,,E,22B0,20.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS REY,FO THO,SKO501,Yellow Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS REY,FO THO,BRU452,Red Line,,,,,E,45R1,40.0,CARRIER,LONG,2
2025,1,IS REY,FO THO,SKO501,Yellow Line,,,,,E,45R1,40.0,CARRIER,LONG,2
2025,1,IS REY,GB IMM,SKO501,Yellow Line,,,,,F,22K2,20.0,CARRIER,LONG,1
2025,1,IS REY,GB TEE,JOR501,Blue Line,,,,,E,45G1,40.0,CARRIER,LONG,5
2025,1,IS REY,GB TEE,JOR501,Blue Line,,,,,E,4EG1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS REY,GB TEE,JOR501,Blue Line,,,,,E,42P3,40.0,CARRIER,PURCHASE_AGREEMENT,2
2025,1,IS REY,IS RFJ,BRU452,Red Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS REY,IS RFJ,BRU452,Red Line,,,,,F,42P3,40.0,CARRIER,LONG,1
2025,1,IS REY,IS VES,SKO501,Yellow Line,,,,,F,42P3,40.0,CARRIER,CABOTAGE,1
2025,1,IS REY,IS VES,SKO501,Yellow Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS REY,IS VES,SKO501,Yellow Line,,,,,E,45R1,40.0,CARRIER,LONG,2
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,E,22G1,20.0,CARRIER,CABOTAGE,4
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,F,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,F,4EG1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,F,22G1,20.0,CARRIER,CABOTAGE,1
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,F,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,F,45R1,40.0,CARRIER,LONG,2
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,F,22K2,20.0,SHIPPER,,1
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,F,22K0,20.0,SHIPPER,,2
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,E,45R1,40.0,CARRIER,LONG,3
2025,1,IS REY,NL RTM,JOR501,Blue Line,,,,,E,22GB,20.0,SHIPPER,PURCHASE_AGREEMENT,1
2025,1,IS REY,SE HEL,BRU452,Red Line,,,,,F,45G1,40.0,LEASED,PURCHASE,1
2025,1,IS REY,SE HEL,BRU452,Red Line,,,,,E,42P3,40.0,CARRIER,LONG,2
2025,1,IS REY,SE HEL,BRU452,Red Line,,,,,E,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1
