year,week,tradeRouteName,voyage,portID,etaDateTime,etdDateTime
2024,52,Red Line,BRU452,IS REY,2025-01-01 11:30:00,2025-01-02 19:15:00
2024,52,Red Line,BRU452,IS RFJ,2025-01-03 16:15:00,2025-01-03 20:15:00
2024,52,Red Line,BRU452,FO THO,2025-01-04 13:15:00,2025-01-04 17:00:00
2024,52,Red Line,BRU452,DE BRV,2025-01-06 14:15:00,2025-01-07 09:45:00
2024,52,Red Line,BRU452,SE HEL,2025-01-08 18:15:00,2025-01-09 03:00:00
2024,52,Red Line,BRU452,DK AAR,2025-01-09 09:00:00,2025-01-10 00:45:00
2024,52,Red Line,BRU452,IS REY,2025-01-13 06:45:00,2025-01-13 19:45:00
2024,52,Red Line,BRU452,GL GOH,2025-01-16 14:30:00,2025-01-17 08:00:00
2024,52,Red Line,BRU452,IS REY,2025-01-21 01:30:00,2025-01-22 18:45:00
2024,52,Yellow Line,LAG452,IS GRT,2024-12-26 20:15:00,2024-12-26 22:15:00
2024,52,Yellow Line,LAG452,IS REY,2024-12-27 00:15:00,2024-12-28 06:00:00
2024,52,Yellow Line,LAG452,NL RTM,2024-12-31 09:30:00,2024-12-31 14:15:00
2024,52,Yellow Line,LAG452,SE HEL,2025-01-02 06:45:00,2025-01-02 17:00:00
2024,52,Yellow Line,LAG452,DK AAR,2025-01-02 21:45:00,2025-01-03 14:30:00
2024,52,Yellow Line,LAG452,FO THO,2025-01-05 15:15:00,2025-01-05 22:45:00
2024,52,Yellow Line,LAG452,IS REY,2025-01-07 11:00:00,2025-01-08 20:15:00
2024,52,Yellow Line,MAL452,IN NAN,2024-12-27 06:00:00,2024-12-27 06:00:00
2024,52,Yellow Line,MAL452,DK AAR,2024-12-27 07:15:00,2024-12-27 14:00:00
2024,52,Yellow Line,MAL452,FO THO,2024-12-29 23:15:00,2024-12-30 07:00:00
2024,52,Yellow Line,MAL452,BR OUT,2024-12-30 07:00:00,2024-12-30 07:00:00
2024,52,Green Line,VIV452,IS REY,2024-12-22 06:00:00,2024-12-27 14:00:00
2024,52,Green Line,VIV452,US PWM,2025-01-03 13:45:00,2025-01-04 17:00:00
2024,52,Green Line,VIV452,CA HAL,2025-01-05 17:30:00,2025-01-06 08:15:00
2024,52,Green Line,VIV452,CA NWP,2025-01-07 16:15:00,2025-01-08 11:00:00
2024,52,Green Line,VIV452,IS REY,2025-01-13 17:15:00,2025-01-14 21:00:00
2025,1,Red Line,DET501,IS REY,2025-01-07 06:00:00,2025-01-08 15:00:00
2025,1,Red Line,DET501,IS RFJ,2025-01-09 13:45:00,2025-01-09 19:00:00
2025,1,Red Line,DET501,FO THO,2025-01-10 12:30:00,2025-01-10 21:15:00
2025,1,Red Line,DET501,DE BRV,2025-01-12 22:30:00,2025-01-13 17:00:00
2025,1,Red Line,DET501,SE HEL,2025-01-15 07:45:00,2025-01-15 22:45:00
2025,1,Red Line,DET501,DK AAR,2025-01-16 05:45:00,2025-01-16 21:15:00
2025,1,Red Line,DET501,IS REY,2025-01-20 04:45:00,2025-01-21 00:00:00
2025,1,Red Line,DET501,GL GOH,2025-01-23 23:45:00,2025-01-24 17:45:00
2025,1,Red Line,DET501,IS REY,2025-01-28 08:30:00,2025-01-29 20:15:00
2025,1,Blue Line,JOR501,IS REY,2024-12-25 20:00:00,2025-01-03 01:45:00
2025,1,Blue Line,JOR501,NL RTM,2025-01-05 19:30:00,2025-01-08 16:30:00
2025,1,Blue Line,JOR501,GB TEE,2025-01-09 13:15:00,2025-01-09 22:00:00
2025,1,Blue Line,JOR501,IS REY,2025-01-12 13:15:00,2025-01-14 06:00:00
2025,1,Blue Line,JOR501,IS GRT,2025-01-14 08:00:00,2025-01-15 18:00:00
2025,1,Blue Line,JOR501,IS REY,2025-01-15 20:00:00,2025-01-16 22:15:00
2025,1,Yellow Line,SKO501,IS GRT,2024-12-30 14:15:00,2024-12-30 19:00:00
2025,1,Yellow Line,SKO501,IS REY,2024-12-31 06:00:00,2025-01-02 13:30:00
2025,1,Yellow Line,SKO501,IS VES,2025-01-02 21:45:00,2025-01-03 00:30:00
2025,1,Yellow Line,SKO501,FO THO,2025-01-04 08:00:00,2025-01-04 12:00:00
2025,1,Yellow Line,SKO501,GB IMM,2025-01-06 12:30:00,2025-01-07 01:30:00
2025,1,Yellow Line,SKO501,DK AAR,2025-01-08 22:45:00,2025-01-10 16:00:00
2025,1,Yellow Line,SKO501,FO THO,2025-01-12 15:15:00,2025-01-12 22:00:00
2025,1,Yellow Line,SKO501,IS REY,2025-01-14 10:00:00,2025-01-15 18:15:00
2025,2,Green Line,BAK502,IS REY,2025-01-08 14:30:00,2025-01-09 13:00:00
2025,2,Green Line,BAK502,US PWM,2025-01-16 07:15:00,2025-01-18 12:00:00
2025,2,Green Line,BAK502,CA HAL,2025-01-19 13:30:00,2025-01-19 22:00:00
2025,2,Green Line,BAK502,CA NWP,2025-01-22 14:45:00,2025-01-23 11:00:00
2025,2,Green Line,BAK502,IS REY,2025-01-28 06:00:00,2025-01-28 22:00:00
2025,2,Yellow Line,LAG502,IS REY,2025-01-07 11:00:00,2025-01-08 20:15:00
2025,2,Yellow Line,LAG502,IS VES,2025-01-09 05:30:00,2025-01-09 10:00:00
2025,2,Yellow Line,LAG502,FO THO,2025-01-10 13:45:00,2025-01-10 22:15:00
2025,2,Yellow Line,LAG502,GB IMM,2025-01-12 17:30:00,2025-01-13 01:30:00
2025,2,Yellow Line,LAG502,NO FRK,2025-01-15 08:45:00,2025-01-15 19:15:00
2025,2,Yellow Line,LAG502,DK AAR,2025-01-16 13:00:00,2025-01-17 14:15:00
2025,2,Yellow Line,LAG502,FO THO,2025-01-19 16:45:00,2025-01-20 03:00:00
2025,2,Yellow Line,LAG502,IS REY,2025-01-21 12:15:00,2025-01-22 22:00:00
2025,2,Red Line,TUK502,CZ DDD,2025-01-02 08:00:00,2025-01-25 17:15:00
2025,2,Red Line,TUK502,DK AAR,2025-01-26 06:30:00,2025-01-26 15:30:00
2025,2,Red Line,TUK502,IS REY,2025-01-29 21:15:00,2025-01-30 16:15:00
2025,2,Red Line,TUK502,GL GOH,2025-02-03 07:15:00,2025-02-04 02:15:00
2025,2,Red Line,TUK502,IS REY,2025-02-07 02:00:00,2025-02-07 16:00:00
2025,2,Blue Line,VED502,IS REY,2025-01-08 20:00:00,2025-01-10 00:45:00
2025,2,Blue Line,VED502,NL RTM,2025-01-12 19:00:00,2025-01-15 19:00:00
2025,2,Blue Line,VED502,GB TEE,2025-01-16 18:30:00,2025-01-17 04:15:00
2025,2,Blue Line,VED502,IS REY,2025-01-19 12:15:00,2025-01-21 06:00:00
2025,2,Blue Line,VED502,IS GRT,2025-01-21 08:00:00,2025-01-22 18:00:00
2025,2,Blue Line,VED502,IS REY,2025-01-22 20:00:00,2025-01-23 21:15:00
2025,3,Red Line,BRU503,IS REY,2025-01-21 01:30:00,2025-01-22 18:45:00
2025,3,Red Line,BRU503,IS RFJ,2025-01-24 00:30:00,2025-01-24 04:30:00
2025,3,Red Line,BRU503,FO THO,2025-01-25 01:30:00,2025-01-25 09:45:00
2025,3,Red Line,BRU503,DE BRV,2025-01-27 12:15:00,2025-01-28 04:45:00
2025,3,Red Line,BRU503,SE HEL,2025-01-29 09:00:00,2025-01-29 23:30:00
2025,3,Red Line,BRU503,DK AAR,2025-01-30 06:30:00,2025-01-30 22:45:00
2025,3,Red Line,BRU503,IS REY,2025-02-03 06:15:00,2025-02-03 23:00:00
2025,3,Red Line,BRU503,GL GOH,2025-02-07 03:45:00,2025-02-07 21:54:00
2025,3,Red Line,BRU503,IS REY,2025-02-11 17:00:00,2025-02-12 15:00:00
2025,3,Blue Line,JOR503,IS REY,2025-01-15 20:00:00,2025-01-16 22:15:00
2025,3,Blue Line,JOR503,NL RTM,2025-01-19 19:00:00,2025-01-22 22:45:00
2025,3,Blue Line,JOR503,GB TEE,2025-01-23 15:00:00,2025-01-23 22:30:00
2025,3,Blue Line,JOR503,IS REY,2025-01-26 12:00:00,2025-01-28 06:00:00
2025,3,Blue Line,JOR503,IS GRT,2025-01-28 08:00:00,2025-01-29 18:00:00
2025,3,Blue Line,JOR503,IS REY,2025-01-29 20:00:00,2025-01-31 00:30:00
2025,3,Yellow Line,SKO503,IS REY,2025-01-14 10:00:00,2025-01-15 18:15:00
2025,3,Yellow Line,SKO503,IS VES,2025-01-16 04:15:00,2025-01-16 07:00:00
2025,3,Yellow Line,SKO503,FO THO,2025-01-17 13:45:00,2025-01-17 20:30:00
2025,3,Yellow Line,SKO503,GB IMM,2025-01-19 17:45:00,2025-01-20 00:45:00
2025,3,Yellow Line,SKO503,DE BRV,2025-01-21 06:30:00,2025-01-21 14:30:00
2025,3,Yellow Line,SKO503,SE HEL,2025-01-22 20:00:00,2025-01-23 04:00:00
2025,3,Yellow Line,SKO503,DK AAR,2025-01-23 10:30:00,2025-01-24 14:45:00
