Line,Vessel,DepPort,DepHour,ArrPort,ArrHour,Capacity,Cost
Blue Line,JOR,NL RTM,66,GB TEE,86,110,1.0
Blue Line,JOR,GB TEE,93,IS REY,157,110,1.0
Blue Line,JOR,IS REY,198,IS GRT,200,110,1.0
Blue Line,JOR,IS GRT,234,IS REY,236,110,1.0
Blue Line,JOR,IS REY,258,NL RTM,330,57,1.0
Blue Line,JOR,NL RTM,401,GB TEE,419,110,1.0
Blue Line,JOR,GB TEE,430,IS REY,492,110,1.0
Blue Line,JOR,IS REY,534,IS GRT,536,110,1.0
Blue Line,JOR,IS GRT,570,IS REY,572,110,1.0
Blue Line,VED,IS REY,30,IS GRT,32,100,1.0
Blue Line,VED,IS GRT,66,IS REY,68,100,1.0
Blue Line,VED,IS REY,92,NL RTM,163,100,1.0
Blue Line,VED,NL RTM,234,GB TEE,249,100,1.0
Blue Line,VED,GB TEE,257,IS REY,367,100,1.0
Blue Line,VED,IS REY,380,IS GRT,382,100,1.0
Blue Line,VED,IS GRT,402,IS REY,404,100,1.0
Blue Line,VED,IS REY,428,NL RTM,498,100,1.0
Blue Line,VED,NL RTM,569,GB TEE,603,100,1.0
Blue Line,VED,GB TEE,610,IS REY,664,100,1.0
Blue Line,VED,IS REY,702,IS GRT,704,100,1.0
Blue Line,VED,IS GRT,738,IS REY,740,100,1.0
Blue Line,WAIT,NL RTM,0,NL RTM,66,10000,0.0
Blue Line,WAIT,GB TEE,0,GB TEE,93,10000,0.0
Blue Line,WAIT,IS REY,0,IS REY,30,10000,0.0
Blue Line,WAIT,IS GRT,0,IS GRT,66,10000,0.0
Blue Line,WAIT,NL RTM,10,NL RTM,66,10000,0.0
Blue Line,WAIT,IS REY,30,IS REY,68,10000,0.0
Blue Line,WAIT,IS GRT,32,IS GRT,66,10000,0.0
Blue Line,WAIT,NL RTM,66,NL RTM,163,10000,0.0
Blue Line,WAIT,IS GRT,66,IS GRT,200,10000,0.0
Blue Line,WAIT,IS REY,68,IS REY,92,10000,0.0
Blue Line,WAIT,GB TEE,86,GB TEE,93,10000,0.0
Blue Line,WAIT,IS REY,92,IS REY,157,10000,0.0
Blue Line,WAIT,GB TEE,93,GB TEE,249,10000,0.0
