Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,ContractType,Count,Truncated,FinalDestination,Commodity
2024,52,IS REY,91,DK AAR,249,45R1,40.0,CARRIER,LONG,1,False,DK AAR,k0_45R1_40_CARRIER
2025,1,DK AAR,110,FO THO,159,22G1,20.0,CARRIER,LONG,1,False,FO THO,k1_22G1_20_CARRIER
2025,1,DK AAR,110,FO THO,159,4EG1,40.0,CARRIER,LONG,1,False,FO THO,k2_4EG1_40_CARRIER
2025,1,DK AAR,110,FO THO,159,45U1,40.0,LEASED,ONEWAY,2,False,FO THO,k3_45U1_40_LEASED
2025,1,DK AAR,110,IS REY,203,22G1,20.0,LEASED,ONEWAY,1,False,IS REY,k4_22G1_20_LEASED
2025,1,DK AAR,110,IS REY,203,45G1,40.0,CARRIER,LONG,1,False,IS REY,k5_45G1_40_CARRIER
2025,1,DK AAR,110,US PWM,415,45G1,40.0,CARRIER,LONG,1,False,US PWM,k6_45G1_40_CARRIER
2025,1,DK AAR,110,IS REY,203,45R1,40.0,CARRIER,LONG,1,False,IS REY,k7_45R1_40_CARRIER
2025,1,DK AAR,110,IS REY,203,22K0,20.0,SHIPPER,,1,False,IS REY,k8_22K0_20_SHIPPER
2025,1,FO THO,137,DE BRV,182,4EG1,40.0,LEASED,MASTER,1,False,DE BRV,k9_4EG1_40_LEASED
2025,1,FO THO,137,DK AAR,249,45G1,40.0,LEASED,ONEWAY,1,False,DK AAR,k10_45G1_40_LEASED
2025,1,FO THO,137,DK AAR,249,45R1,40.0,LEASED,ONEWAY,7,False,DK AAR,k11_45R1_40_LEASED
2025,1,FO THO,132,GB IMM,180,LNRB,45.0,CARRIER,PURCHASE_AGREEMENT,1,False,GB IMM,k12_LNRB_45_CARRIER
2025,1,FO THO,166,IS REY,203,22G1,20.0,CARRIER,LONG,1,False,IS REY,k13_22G1_20_CARRIER
2025,1,FO THO,166,CA HAL,493,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,CA HAL,k14_45R1_40_CARRIER
2025,1,IS GRT,402,IS REY,404,22G1,20.0,CARRIER,PURCHASE_AGREEMENT,1,True,US PWM,k15_22G1_20_CARRIER
2025,1,IS GRT,402,IS REY,404,22G1,20.0,CARRIER,CABOTAGE,1,True,US PWM,k16_22G1_20_CARRIER
2025,1,IS GRT,402,IS REY,404,45P3,40.0,CARRIER,LONG,1,True,SE HEL,k17_45P3_40_CARRIER
2025,1,IS GRT,402,IS REY,404,22G1,20.0,LEASED,MASTER,1,True,GB IMM,k18_22G1_20_LEASED
2025,1,IS REY,91,DE BRV,182,45G1,40.0,LEASED,ONEWAY,1,False,DE BRV,k19_45G1_40_LEASED
2025,1,IS REY,91,DE BRV,182,22G1,20.0,LEASED,ONEWAY,1,False,DE BRV,k20_22G1_20_LEASED
2025,1,IS REY,91,DK AAR,249,45G1,40.0,CARRIER,LONG,1,False,DK AAR,k21_45G1_40_CARRIER
2025,1,IS REY,91,DK AAR,249,22G1,20.0,CARRIER,LONG,1,False,DK AAR,k22_22G1_20_CARRIER
2025,1,IS REY,85,FO THO,128,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,FO THO,k23_45R1_40_CARRIER
2025,1,IS REY,85,GB IMM,180,22K2,20.0,CARRIER,LONG,1,False,GB IMM,k24_22K2_20_CARRIER
2025,1,IS REY,91,IS RFJ,112,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS RFJ,k25_45G1_40_CARRIER
2025,1,IS REY,91,IS RFJ,112,42P3,40.0,CARRIER,LONG,1,False,IS RFJ,k26_42P3_40_CARRIER
2025,1,IS REY,85,IS VES,93,42P3,40.0,CARRIER,CABOTAGE,1,False,IS VES,k27_42P3_40_CARRIER
2025,1,IS REY,85,IS VES,93,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS VES,k28_45R1_40_CARRIER
2025,1,IS REY,97,NL RTM,163,4EG1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,NL RTM,k30_4EG1_40_CARRIER
2025,1,IS REY,97,NL RTM,163,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,NL RTM,k32_45R1_40_CARRIER
2025,1,IS REY,97,NL RTM,163,45R1,40.0,CARRIER,LONG,2,False,NL RTM,k33_45R1_40_CARRIER
2025,1,IS REY,97,NL RTM,163,22K2,20.0,SHIPPER,,1,False,NL RTM,k34_22K2_20_SHIPPER
2025,1,IS REY,97,NL RTM,163,22K0,20.0,SHIPPER,,2,False,NL RTM,k35_22K0_20_SHIPPER
2025,1,IS REY,97,NL RTM,163,22GB,20.0,SHIPPER,PURCHASE_AGREEMENT,1,False,NL RTM,k36_22GB_20_SHIPPER
2025,1,IS REY,91,SE HEL,234,45G1,40.0,LEASED,PURCHASE,1,False,SE HEL,k37_45G1_40_LEASED
2025,1,IS RFJ,116,DE BRV,182,LNRB,45.0,CARRIER,PURCHASE_AGREEMENT,1,False,DE BRV,k38_LNRB_45_CARRIER
2025,1,IS RFJ,116,DE BRV,182,LNRB,45.0,CARRIER,LONG,2,False,DE BRV,k39_LNRB_45_CARRIER
2025,1,IS RFJ,116,DE BRV,182,45R1,40.0,CARRIER,LONG,3,False,DE BRV,k40_45R1_40_CARRIER
2025,1,IS RFJ,116,DE BRV,182,LNRB,45.0,LEASED,PURCHASE,1,False,DE BRV,k41_LNRB_45_LEASED
2025,1,IS RFJ,116,GB IMM,329,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,2,False,GB IMM,k42_45R1_40_CARRIER
2025,1,IS VES,96,DK AAR,238,45G1,40.0,LEASED,ONEWAY,1,False,DK AAR,k43_45G1_40_LEASED
2025,1,IS VES,96,DE BRV,182,45R1,40.0,CARRIER,LONG,1,False,DE BRV,k44_45R1_40_CARRIER
2025,1,SE HEL,89,IS REY,203,42G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k45_42G1_40_CARRIER
2025,1,SE HEL,89,US PWM,415,45G1,40.0,CARRIER,LONG,1,False,US PWM,k46_45G1_40_CARRIER
2025,1,SE HEL,89,IS REY,203,4EG1,40.0,CARRIER,LONG,2,False,IS REY,k47_4EG1_40_CARRIER
2025,1,SE HEL,89,IS REY,203,45G1,40.0,LEASED,PURCHASE,1,False,IS REY,k48_45G1_40_LEASED
2025,1,SE HEL,89,IS REY,203,42G1,40.0,LEASED,PURCHASE,1,False,IS REY,k49_42G1_40_LEASED
2025,1,US PWM,137,CA HAL,161,42P3,40.0,LEASED,MASTER,1,False,CA HAL,k50_42P3_40_LEASED
2025,1,US PWM,137,IS REY,353,22G1,20.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k51_22G1_20_CARRIER
2025,1,US PWM,137,GB IMM,497,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,GB IMM,k52_45G1_40_CARRIER
2025,1,US PWM,137,DE BRV,534,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,DE BRV,k53_45G1_40_CARRIER
2025,1,US PWM,137,IS REY,353,45G1,40.0,CARRIER,CABOTAGE,3,False,IS REY,k54_45G1_40_CARRIER
2025,1,US PWM,137,IS REY,353,22G1,20.0,CARRIER,LONG,1,False,IS REY,k55_22G1_20_CARRIER
2025,1,US PWM,137,IS REY,353,22G1,20.0,CARRIER,LONG,1,True,DK AAR,k56_22G1_20_CARRIER
2025,1,US PWM,137,IS REY,353,45G1,40.0,LEASED,MASTER,1,True,DK AAR,k57_45G1_40_LEASED
2025,2,CA HAL,176,IS REY,353,45P3,40.0,CARRIER,LONG,1,False,IS REY,k58_45P3_40_CARRIER
2025,2,CA NWP,227,IS REY,353,22G1,20.0,LEASED,MASTER,1,True,FO THO,k59_22G1_20_LEASED
2025,2,DE BRV,201,IS REY,342,45G1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,IS REY,k60_45G1_40_CARRIER
2025,2,DE BRV,201,IS REY,342,45G1,40.0,CARRIER,CABOTAGE,1,False,IS REY,k61_45G1_40_CARRIER
2025,2,DE BRV,201,US PWM,538,45G1,40.0,CARRIER,LONG,1,False,US PWM,k62_45G1_40_CARRIER
2025,2,DE BRV,201,IS REY,342,22G1,20.0,CARRIER,LONG,1,False,IS REY,k63_22G1_20_CARRIER
2025,2,DE BRV,201,US PWM,538,45R1,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,US PWM,k64_45R1_40_CARRIER
2025,2,DE BRV,201,FO THO,445,45R1,40.0,CARRIER,LONG,1,False,FO THO,k65_45R1_40_CARRIER
2025,2,DK AAR,280,FO THO,327,42P3,40.0,CARRIER,PURCHASE_AGREEMENT,1,False,FO THO,k66_42P3_40_CARRIER
2025,2,DK AAR,280,FO THO,327,4EG1,40.0,CARRIER,LONG,1,False,FO THO,k67_4EG1_40_CARRIER
