Commodity,Year,Week,Origin,DepartureTime,Destination,ArrivalTime,ContainerType,ContainerSize,Owner,Count,Truncated,FinalDestination,ContractType
DLAY_2_IS GRT_IS REY,2025,1,IS GRT,234,IS REY,492,45P3,40.0,CARRIER,1,True,SE HEL,
DLAY_3_IS GRT_IS REY,2025,1,IS GRT,234,IS REY,492,22G1,20.0,LEASED,1,True,GB IMM,
DLAY_5_CA NWP_IS REY,2025,2,CA NWP,59,IS REY,492,22G1,20.0,LEASED,1,True,FO THO,
DLAY_137_GB IMM_IS REY,2025,3,GB IMM,169,IS REY,492,45R1,40.0,CARRIER,3,True,CA HAL,
DLAY_138_GB IMM_IS REY,2025,3,GB IMM,169,IS REY,492,45R1,40.0,CARRIER,1,True,IS VES,
DLAY_168_NL RTM_IS REY,2025,3,NL RTM,235,IS REY,492,45R1,40.0,CARRIER,1,True,FO THO,
DLAY_181_NO FRK_IS REY,2025,3,NO FRK,235,IS REY,492,22K2,20.0,SHIPPER,1,True,NL RTM,
DLAY_184_SE HEL_IS REY,2025,3,SE HEL,238,IS REY,492,45G1,40.0,CARRIER,1,True,US PWM,
TLEG_0_IS REY_US PWM,2025,2,IS REY,236,US PWM,420,22G1,20.0,Carrier,2,False,US PWM,
TLEG_1_IS REY_SE HEL,2025,2,IS REY,236,SE HEL,412,45P3,40.0,Carrier,1,False,SE HEL,
TLEG_2_IS REY_GB IMM,2025,2,IS REY,236,GB IMM,336,22G1,20.0,Leased,1,False,GB IMM,
TLEG_3_IS REY_DK AAR,2025,2,IS REY,185,DK AAR,495,22G1,20.0,Carrier,1,False,DK AAR,
TLEG_4_IS REY_DK AAR,2025,2,IS REY,185,DK AAR,495,45G1,40.0,Leased,1,False,DK AAR,
TLEG_5_IS REY_FO THO,2025,2,IS REY,185,FO THO,504,22G1,20.0,Leased,1,False,FO THO,
TLEG_6_IS REY_IS RFJ,2025,2,IS REY,174,IS RFJ,436,4EG1,40.0,Carrier,1,False,IS RFJ,
TLEG_12_IS REY_US PWM,2025,2,IS REY,340,US PWM,420,45G1,40.0,Carrier,5,False,US PWM,
