Location,Last location,Next location,FullEmpty,With customer,ContainerType,ContainerSize,Owner,count
CA DAR,,,Empty,False,22G1,20.0,CARRIER,1
CA DAR,,,Empty,False,45G1,40.0,CARRIER,1
CA DAR,,,Empty,False,45H5,40.0,CARRIER,1
CA DAR,,,Empty,False,45R1,40.0,CARRIER,1
CA ETC,,,Empty,False,22G1,20.0,CARRIER,1
CA ETC,,,Empty,False,45R1,40.0,CARRIER,1
CA HAL,,,Empty,False,22G1,20.0,CARRIER,1
CA HAL,,,Empty,False,22K0,20.0,SHIPPER,1
CA HAL,,,Empty,False,22R1,20.0,CARRIER,1
CA HAL,,,Empty,False,22U1,20.0,CARRIER,1
CA HAL,,,Empty,False,42G1,40.0,CARRIER,1
CA HAL,,,Empty,False,42G1,40.0,SHIPPER,1
CA HAL,,,Empty,False,42P3,40.0,CARRIER,1
CA HAL,,,Empty,False,45G1,40.0,CARRIER,2
CA HAL,,,Empty,False,45G1,40.0,SHIPPER,1
CA HAL,,,Empty,False,45P3,40.0,CARRIER,1
CA HAL,,,Empty,False,45R1,40.0,CARRIER,2
CA HAL,,,Empty,False,45U1,40.0,CARRIER,1
CA HAL,,,Empty,False,4EG1,40.0,CARRIER,1
CA HAL,,,Full,False,22G1,20.0,CARRIER,3
CA HAL,,,Full,False,22K0,20.0,SHIPPER,1
CA HAL,,,Full,False,42P3,40.0,CARRIER,1
CA HAL,,,Full,False,45G1,40.0,CARRIER,1
CA HAL,,,Full,False,45G1,40.0,ONEWAY,1
CA HAL,,,Full,False,45H5,40.0,SHIPPER,1
CA HAL,,,Full,False,45P3,40.0,CARRIER,1
CA HAL,,,Full,False,45R1,40.0,CARRIER,5
CA HAL,,,Full,True,22G1,20.0,CARRIER,1
CA HAL,,,Full,True,45G1,40.0,CARRIER,1
CA HAL,,,Full,True,45R1,40.0,CARRIER,1
CA HAL,,,Full,True,45U1,40.0,CARRIER,1
CA MTR,,,Empty,False,45R1,40.0,CARRIER,1
CA NWP,,,Empty,False,22G1,20.0,CARRIER,1
CA NWP,,,Empty,False,22G1,20.0,SHIPPER,1
